"","x"
"Intercept",577.165312475003
"SEX",140.825725033707
"GENERATION",-3.30229528087281
"1@84.2a",20.6405865782714
"1@84.2d",8.08791581115844
"1@164.2a",9.64478535328705
"1@164.2d",-18.5857428850929
"1@401.7a",19.4738570925405
"1@401.7d",-3.6761300833884
"2@216.0a",10.9460062134373
"2@216.0d",0.73083679866162
"2@327.2a",11.6925177355471
"2@327.2d",-6.68262674441634
"3@141.7a",11.1208250015693
"3@141.7d",-1.01819115025246
"4@49.5a",21.9825147365116
"4@49.5d",0.869943798787984
"6@0.0a",-0.519199772938147
"6@0.0d",16.7949755536946
"6@78.1a",18.9074243686117
"6@78.1d",-4.61310245733963
"7@50.2a",33.1385458996053
"7@50.2d",5.72339097855769
"8@21.7a",7.36908850659405
"8@21.7d",-4.5992640080262
"8@91.2a",13.3591943948174
"8@91.2d",-1.78292226130099
"9@0.7a",-13.8720524154465
"9@0.7d",17.7336650520241
"10@20.5a",12.847331034514
"10@20.5d",2.35976470765113
"12@7.5a",-19.1640099212288
"12@7.5d",-3.05203246800427
"13@4.3a",15.3957721650065
"13@4.3d",7.23149577393037
"14@22.9a",13.662630163866
"14@22.9d",2.93052175147601
"16@9.0a",17.5830139855235
"16@9.0d",5.58339318160618
"21@3.1a",18.7559242711265
"21@3.1d",-9.68689340181216
"23@0.0a",7.67043130706784
"23@0.0d",18.2904224865658
"27@0.0a",9.57885163853859
"27@0.0d",14.8429124765625
"29@0.0a",11.1061633879231
"29@0.0d",-1.9033370982332
