chromosome,informative_markers_per_Mb
1,103.06080771962775
9,41.34135876042908
10,88.97128616318128
12,83.47440263352063
11,74.94179578863726
13,162.99912097735398
14,85.92992357848979
20,99.74423207900561
15,123.1030989272944
18,42.59783472387763
17,113.49807671470366
2,117.78830154946365
19,123.50273594105536
27,79.76979870215865
33,76.24634982121573
21,38.22901413247063
W,0.826366422611953
24,126.02230546569045
31,11.497360803677848
23,105.35292865656393
26,94.94338498212157
22,22.202920143027413
3,64.6196941876322
28,86.98818037346047
4,149.3635927864435
Z,64.06348995505263
5,105.85462355979341
7,96.64226234577843
6,171.574831685082
8,54.59492867853435
