suggestive_loc,average_a
1-56,0.005363528009535161
1-171,0.0068533969010727055
2-99,-0.02443384982121573
2-113,-0.026519666269368296
3-35,-0.008939213349225268
3-74,-0.12783075089392135
4-11,-0.09296781883194279
4-23,-0.08611442193087009
4-36,-0.1364719904648391
4-70,-0.020858164481525627
Z-1,-0.23212157330154945
Z-10,-0.18742550655542312
Z-34,-0.1394517282479142
5-30,-0.07240762812872467
7-4,-0.22109654350417163
7-21,-0.0166865315852205
8-4,0.08134684147794995
10-9,-0.02443384982121573
10-21,-0.08849821215733016
11-7,0.0011918951132300357
13-12,-0.03069129916567342
14-6,0.05303933253873659
14-16,0.0029797377830750892
20-11,0.20887961859356377
23-6,-0.18295589988081049
